Timestamp,Download_Mbps,Upload_Mbps,Ping_ms,RSSI_dBm,Latitude,Longitude,Note
2025-05-19 15:41:13,5.16,2.84,10.07,,35.662,139.683,"Building 5, Room 524"
2025-05-19 15:42:24,17.71,24.83,108.95,,35.662,139.683,test 2
2025-05-19 15:43:58,22.08,37.75,120.43,,35.662,139.683,test 3
2025-05-19 15:47:40,24.82,30.08,8.57,,35.662,139.683,test 4
2025-05-19 16:06:42,197.60,95.03,12.80,,35.662,139.683,Building A room 1
2025-05-19 16:17:05,301.52,202.29,7.26,,35.662,139.683,test 6
2025-05-19 16:18:18,233.09,161.56,10.86,,35.662,139.683,test 7
2025-05-19 16:22:19,224.66,223.80,15.53,,35.662,139.683,test 8
2025-05-19 16:25:06,242.13,227.32,13.44,-54.0,35.662,139.683,test 9
2025-05-19 16:26:03,194.97,173.75,12.45,-55.5,35.662,139.683,test 9
2025-05-19 16:36:24,334.89,192.07,12.14,-50.0,35.662,139.683,test 5
2025-05-20 10:54:03,205.62,192.92,16.69,-50.0,368,320,test 10
2025-05-20 11:29:41,150.09,184.76,22.51,-50.0,267,266,building 5
